Comp,RIOTs,Evidence,Assessment,Criteria
"2.5.3.1 Provide 
protection in relation 
to medical, 
occupational and 
public exposure to 
ionizing radiation","o 
Investigate mock scenarios such as: 
o  Advise public groups, e.g. brachytherapy 
patients, pregnant women, carer in the CT 
room 
o  Advice to pregnant worker.  
o  Proposed change to an alternative 
monitoring method (e.g. OSL instead of TLD 
badges) 
o  Advise on updates to radiation safety manual 
for radiation oncology  
o  Manage a personal dosimetry system  
o  Give a radiation safety in-service to another 
professional group 
o  Prepare a handout for staff on safety","o  Written report or 
oral presentation","o  Q&A session with 
assessor.   
o  Assessor review 
of report / 
presentation.","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Provides appropriate advice to public groups 
o  Provides appropriate advice to occupationally exposed 
groups, e.g. pregnant staff, staff members with unusual 
personal monitoring readings 
o  Provides appropriate advice on optimisation of medically 
exposed groups, e.g. repeat CT scan of patients, imaging 
doses"
"8.7.1.3 Understand 
how Gamma camera 
and SPECT images 
are used in the 
management of 
cancer","o  MSc coursework. 
o  Read and summarise references, e.g. studies of 
the impact of Gamma camera and SPECT and 
other imaging modalities on cancer 
management, such as RCR2004 Imaging for 
Oncology. 
o  Observe Gamma camera and SPECT imaging for 
diagnosis, staging, treatment planning and 
monitoring 
o  Review NM imaging relevant to oncology, bone 
scan, gallium 
o  Attend multi-disciplinary case review meetings 
o  Patient case study, e.g., attend breast lympho-
scintigraphy and observe sentinel lymph node 
biopsy in theatres 
o  Observe diagnostic imaging procedures for 
different body sites and with different imaging 
modalities to gain an understanding of which 
aspects of image quality are clinically important.  
Discuss with a NM physician, a DIMP and/or NM 
technologist.  Observe a physician’s reporting 
session if possible.","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes how Gamma camera and SPECT is used in the 
management of cancer, for example, in diagnosis, staging, 
treatment planning and monitoring.  
o  Discusses the pros and cons of Gamma camera and SPECT in 
the management of cancer 
o  Illustrates this by describing at least two clinical scenarios 
where Gamma camera and/or SPECT are used"
"8.2.1.1 Understand 
the physical 
principles and 
operation of 
diagnostic CT 
scanners","o  MSc coursework. 
o  Read and summarise references on principles 
and operation of CT scanners, e.g. IAEA DR 
Handbook, Bushberg  
o  Attend a teaching session with a DIMP 
o  Observe maintenance and QA of diagnostic CT 
scanners 
o  Observe clinical use of CT scanners in diagnostic 
departments and contrast with their use in 
radiation therapy departments (for example 
using knowledge gained from competencies 4.4, 
4.5, 5.2, 6.4 and 6.6).  Note how CT scan settings 
are optimized for the clinical application 
o  Review specialist and emerging CT imaging 
techniques, for example, cardiac imaging, CT 
angiography, artifact reduction, dose reduction 
techniques, including iterative techniques and 
their interplay with HU to electron density 
conversion, dual energy imaging","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes. 
o  Answers to online 
resources on e-
learning website","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor 
o  May be assessed in 
conjunction with 
aspects of 
competencies 4.4, 
4.5, 5.2 and 6.4","o  Explains the basic physics of x-ray production for CT imaging  
o  Explains key parameters and terms used in CT imaging such 
as kV, mAs, pitch, filtration, slice width, slice spacing, scan 
length and gives typical values, extended field of view 
o  Describes typical CT scanner configuration (block diagram) 
for 3rd generation scanners, including single slice and multi-
slice machines 
o  Explains how CT images are reconstructed and stored 
o  Explain how CT settings affect the image quality parameters 
listed in 8.1.1.2 
o  Discusses differences and similarities between CT imaging 
procedures in the diagnostic and therapy departments 
o  Describes typical artifacts observed in CT images and their 
causes 
o  Describes 4DCT acquisition, reconstruction and image 
display techniques 
o Describes CT imaging strengths and weaknesses"
"2.1.2.1 Compare and 
contrast the various 
licenses / 
registrations / 
approvals in the 
department for staff 
and equipment (as 
applicable)","o  Compare the RO, RT and physicist licenses. 
o  Compare licenses for the range of treatment 
devices in the department (if such licenses 
exist).",o  Written logbook,"o  Q&A session with 
assessor","o  For different professional groups (including ROMPs, RTs & 
ROs): 
o  Explains eligibility requirements to be licensed  
o  Explains license conditions 
o 
Identifies what activities are permitted under each 
license. 
o  Explains licensing requirements for 
supervised/unsupervised practice 
o  Explains licensing/registration/approval conditions (if any) 
for different types of equipment, including therapeutic, 
imaging and research equipment  
o 
Identifies radiation emitting equipment that is exempt from 
licensing requirements.  
o 
Identifies requirements for notification of 
purchase/disposal of equipment"
"2.1.2.2 Audit  a 
department’s 
compliance with 
regulatory 
requirements","o  Locate an audit procedure from within the 
department (or from another department).  
Perform an audit using that procedure. Make 
recommendations to the department on how to 
improve compliance with legislation, to cover 
identified risks or reflect recently published 
data. 
o  Review an audit report from a regulator. 
o  Analyse instructions on radiation protection 
provided to staff and patients.","o  Audit report  
o 
Summary of 
recommendations","o  Assessor review 
of audit report 
plus Q&A","o  Departmental compliance audit shows: 
o  All previous outcomes of audits addressed 
o  All audit criteria addressed 
o  Non-compliance identified (if any) 
o  Non-compliance is reported and followed up according to 
departmental protocols 
o  Meets general criteria for communication"
"2.1.3.1 Apply the 
principal 
requirements of 
radiation protection 
management","o  Complete Competencies 2.2 -2.6 to Level 3. 
o  Manage the local implementation of new 
legislation or recommendations. 
o  Explore mock scenarios and problem based 
learning exercises.","o  CTG showing 
Competencies 2.2-
2.6 signed off. 
o  Documentation of 
local 
implementation.","o  Q&A session with 
trainer. 
o  Oral presentation","o  Meets general criteria for communication. 
o  Meets general criteria for professionalism. 
o  On completion of 2.2-2.6, discusses linkages and hierarchy 
of local/national and international documents and how they 
relate to the local management system. 
o  Competent judgment in mock scenarios. 
o  Discusses risks described in local management plans. 
o  Discusses how to convey risk assessments to relevant 
patient/personnel/public."
"2.3.2.1 Operate 
radiation detectors","o  Read operation/user manuals 
o  Assist with radiation surveys (linac, source 
storage areas, HDR unit etc.) 
o 
Search for brachy seeds (anything that uses 
meter)",o  Log book notes,"o  Practical 
demonstration to 
assessor","o  Meets general criteria for practical work 
o 
Selects appropriate meter 
o 
Selects appropriate range/scale  
o  Notes units of calibration and conversions required 
o  Monitors and corrects for background 
o  Confirms calibration of meter and its QC history 
o  Applies correction factors if needed (e.g. energy or 
directional dependence) 
o  Orients meter correctly 
o  Allows time for reading to stabilize (taking into account time 
constant) 
o 
Identifies limitations of detector"
"2.3.2.2 Identify and 
test protection 
measures for 
radiotherapy 
equipment","o  Complete checklist for different types of 
equipment (e.g. linac, CT, kV unit – HDR covered 
in 2.4) 
o  Test functionality of protection measures","o  Checklist of 
conformance with 
requirements","o  Review of list and 
conformance by 
assessor","o 
Identifies conformance of interlocks with previously 
specified requirements (national or state regulations and/or 
manufacturer specifications). 
o  List should include and have functionality tests of 
o  Audible and visual alerts to emitting radiation  
o  Door interlocks 
o  Emergency stops"
"2.3.2.3 Perform 
radiation surveys 
using appropriate 
equipment under 
general supervision","o 
Survey of: 
o 
linac bunker 
o  CT scanner room 
o  kV unit room","o  Logbook notes 
o 
Survey report","o  Assessment by 
observation","o  Meets general criteria for practical work 
o 
Selects appropriate meter 
o 
Systematic survey of controlled and uncontrolled areas 
o 
Sets up radiation emitting device to maximize reading for 
both primary and secondary barriers 
o 
Identifies areas of likely higher readings 
o  Relates results to regulatory requirements and design limits 
o  Carries out the above steps without prompting or 
instruction, but seeks advice from a senior when required by 
departmental policy. 
o  Considers own and others’ safety in preliminary survey 
o  Refers to relevant references (e.g.  NCRP 151)"
"2.3.3.1 Perform 
radiation safety and 
protection 
procedures for 
radiation emitting 
devices according to 
legislated 
requirements","o  Assess radiation emitting equipment 
compliance with legislation.  Audit : 
o  high energy treatment unit and CT 
o  And either kV unit or  HDR 
o  Perform radiation surveys using appropriate 
equipment under examination conditions","o  Audit report 
o  Examiner’s report","o  Review of report 
by assessor 
o  Practical mock 
exam","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  References relevant legislation for jurisdiction 
o 
Identifies all safety requirements and discusses significance 
of non-compliance 
o  Makes recommendations 
o 
Identifies and addresses limitations of detector 
o 
Interprets detector results 
o  Makes recommendations for long term assessment of areas 
e.g. environmental survey dosimeters"
"6.4.1.1 Understand 
principles of imaging 
modalities used for 
HDR brachytherapy","o  MSc coursework 
o  Observe brachytherapy imaging procedures in a 
clinical department  
o  Attend planning sessions where different 
images are used  
o  Read departmental protocols describing 
imaging procedures 
o  E-learning 
o  Observe QA aspects of brachytherapy imaging 
o 
Investigate safety aspects associated with 
brachytherapy equipment in imaging e.g. metal 
applicators","o  MSc coursework 
o  Written report 
o  Logbook notes 
o  Presentation on 
topic","o  RPL 
o  Q&A session with 
supervisor","o  Lists imaging modalities used clinically, including CT, 
ultrasound, MRI and planar x-rays. 
o  Describes how images are used (e.g. for applicator 
reconstruction, identification of PTV, identification of organs 
at risk etc.) 
o  Describes optimal parameters for imaging protocols, 
including for:  
o  planar x-rays: kV, mAs, FFD, 
o  CT:  kV, mAs, FOV, slice width, slice spacing 
o  MRI: slice width, slice spacing, imaging sequence 
o  US:  slice separation 
o  Lists QA aspects of brachytherapy imaging, e.g. artifact 
reduction, deformation and accuracy of geometry in the TPS 
with specific reference to: 
o  Catheter/applicator reconstruction 
o  accurate determination of dwell positions relative to the 
catheter/applicator"
"6.4.2.1 Explain 
selection of imaging 
modalities for HDR 
brachytherapy","o  Perform research to identify international 
guidelines for the use of imaging in HDR 
brachytherapy 
o 
In a clinical centre or at a workshop, use images 
taken for insertion, treatment planning and pre-
treatment verification with the following 
imaging modalities: 
o  Radiographs 
o  CT 
o  MRI 
o  Ultrasound","o 
Summary notes",o  Q&A,"o  Explains pros and cons of imaging modalities for insertion, 
treatment planning and pre-treatment verification (why is 
ultrasound, CT, MRI a good choice? e.g., image distortions or 
artifacts).  
o 
Identifies appropriate consensus documents for imaging 
modalities, e.g. GEC-ESTRO recommendations for 
gynaecological HDR brachytherapy 
o  Describes how patients are positioned and identifies 
immobilization devices used 
o  Describes how imaging equipment is positioned with 
respect to patient (e.g. tube position for planar x-rays, 
stepper for US etc.) 
o 
Identifies any localization aids used (wires, rectal or bladder 
markers, fiducials etc.)"
